DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2011,65.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2012,66.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2013,65.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2014,62,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2015,64.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2016,63.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2017,65.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2018,60.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2019,61.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2004,22,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2005,11.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2006,25.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2007,25.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2008,34,e
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2009,42.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2010,50,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2011,52,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2012,55.3,e
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2013,56.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2014,58.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2015,59.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2016,64.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2017,66.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2018,70.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2019,66.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2003,51.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2004,55.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2005,59,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2006,63.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2007,65.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2008,67.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2009,68.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2010,70,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2011,69.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2012,69.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2013,69.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2014,73,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2015,74.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2016,75.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2017,72.3,
